施設名等,設置場所,区,所在地,緯度,経度
馬宮西放課後児童クラブ（キッズクラブまみや西）,クラブ室内,西区,飯田新田189-2 馬宮西小学校内,35.886205,139.559354
栄小放課後子ども居場所事業専用室,クラブ室内,西区,飯田811,35.9069680965505,139.582470953332
佐知川放課後児童クラブ,クラブ室内,西区,佐知川299-16,35.9036393,139.5875339
春光園うえみず,事務室,西区,佐知川299-16,35.90364809,139.5875343
植水保育園,園内,西区,佐知川306,35.9035548,139.5871364
指扇保育園,園内,西区,高木567-3,35.9274483,139.5707863
秋葉の森総合公園,事務室（センターハウス）,西区,中釘1241,35.935297,139.566423
指扇北第二放課後児童クラブ（指扇北ふわふわ）,クラブ室内,西区,中釘1506-4,35.9329633990015,139.571438524462
指扇北放課後児童クラブ（指扇北すくすく）,クラブ室内,西区,中釘1538‐1,35.932242,139.572036
植水支所,支所内,西区,中野林173-2,35.893938,139.591685
植水老人憩いの家,事務室,西区,中野林174-1,35.893749,139.592113
植水放課後児童クラブ,クラブ室内,西区,中野林174-1,35.8938287898943,139.592167659434
植水第二放課後児童クラブ,クラブ室内,西区,中野林225-3,35.8936735,139.5936994
馬宮放課後児童クラブ,クラブ室内,西区,西遊馬533-1,35.9052776340477,139.572981067165
緑のふるさとセンター,管理事務所,西区,西新井124,35.939682,139.591445
花の食品館,１階トイレ付近,西区,西新井216,35.9409785707805,139.590761840231
指扇放課後児童クラブ（指扇にじのこ）,クラブ室内,西区,西大宮1-49-9,35.921916,139.572988
西区役所,１階トイレ,西区,西大宮3-4-2,35.9251544006731,139.579875004168
西区役所,２階トイレ,西区,西大宮3-4-2,35.9251544006731,139.579875004168
西区役所,３階トイレ,西区,西大宮3-4-2,35.9251544006731,139.579875004168
西区役所,正面入口(屋外24時間),西区,西大宮3-4-2,35.9251544006731,139.579875004168
馬宮保育園,園内,西区,西遊馬119,35.9014867,139.5741551
馬宮支所,支所内,西区,西遊馬236-2,35.90365,139.573128
馬宮コミュニティセンター,１階トイレ,西区,西遊馬533-1,35.9051166930736,139.572985203077
馬宮コミュニティセンター,３階トイレ,西区,西遊馬533-1,35.9051166930736,139.572985203077
馬宮コミュニティセンター,正面入口(屋外24時間),西区,西遊馬533-1,35.9051166930736,139.572985203077
馬宮児童センター,センター内,西区,西遊馬533-1,35.905091,139.572728
馬宮荘,トイレ,西区,西遊馬533-1,35.905091,139.572728
西遊馬公園,管理事務所,西区,西遊馬899-3,35.904504,139.561538
職業訓練センター（大宮建設高等職業訓練校）,事務室,西区,西遊馬1338-13,35.914634,139.561273
大宮ワークプラザ,事務室,西区,西遊馬1969-8,35.917111,139.561772
西部環境センター,事務室,西区,宝来52-1,35.934047,139.55289
西部清掃事務所,1階トイレ,西区,宝来52-1,35.9342315501956,139.553285483254
健康福祉センター西楽園,１階ロビー,西区,宝来60-1,35.9326595258705,139.554493286035
健康福祉センター西楽園,２階ロビー,西区,宝来60-1,35.9326595258705,139.554493286035
宝来グラウンド・ゴルフ場,管理事務所,西区,宝来125-1,35.931009,139.554271
宝来グラウンド・ゴルフ場,南コース南東側(屋外開庁時),西区,宝来125-1,35.9305660841573,139.555129285417
指扇駅南自転車駐車場,事務室,西区,宝来1649-4,35.916481,139.56427
三橋総合公園,１階トイレ,西区,三橋5-190,35.913193,139.595473
三橋総合公園プール,監視医務室,西区,三橋5-190,35.9128741138799,139.595317055203
三橋総合公園プール,玄関ホールトイレ,西区,三橋5-190,35.912798,139.59501
三橋西保育園,園内,西区,三橋6-381-1,35.9129169,139.5860387
大宮西放課後児童クラブ（キッズクラブおおみや西あおぞら）,クラブ室内,西区,三橋6-382-1,35.913049,139.585798
子育て支援センターにし,事務室,西区,三橋6-382-1 2階,35.913037,139.58586
三橋支所,支所内,西区,三橋6-642-4,35.917659,139.591937
西部文化センター,１階トイレ,西区,三橋6-642-4,35.917659,139.591937
西部文化センター,３階トイレ,西区,三橋6-642-4,35.9177075136657,139.592059485963
西部文化センター,正面入口(屋外24時間),西区,三橋6-642-4,35.9177075136657,139.592059485963
ひまわり学園,1階理学療法室倉庫前,西区,三橋6-1587,35.9208832212026,139.590284030095
ひまわり学園,2階総合スタッフルーム前,西区,三橋6-1587,35.9208875654576,139.591923192528
ひまわり学園,1階医務課スタッフルーム前,西区,三橋6-1587,35.9207767868807,139.589567880315
みのり園,事務室,西区,三橋6-1587,35.920553,139.589646
三橋プール,管理事務所,西区,三橋6-1709-3,35.921966,139.58518
宮前放課後児童クラブ,クラブ室内,西区,宮前町443,35.9241206,139.5946766
高齢者生きがい活動センター,トイレ,北区,植竹町1-593-1,35.927705,139.624087
植竹第二放課後児童クラブ（東大成・植竹小もりのこクラブ）,クラブ室内,北区,植竹町1-593-2,35.927847,139.624615
日進支所,支所内,北区,櫛引町2-574-1　イオン大宮店２階,35.9230684164614,139.609170799873
泰平保育園,園内,北区,今羽町596,35.9484806,139.6262982
